barcode	File	local	
16336	C2L37ACXX_1_20140109B_20140119	vbsf-ngs	
16337	C2L37ACXX_1_20140109B_20140119	vbsf-ngs	
16338	C2L37ACXX_1_20140109B_20140119	vbsf-ngs	
16339	C2L37ACXX_1_20140109B_20140119	vbsf-ngs	
16339	C2L37ACXX_2_20140109B_20140119	vbsf-ngs	
16340	C2L37ACXX_2_20140109B_20140119	vbsf-ngs	
16341	C2L37ACXX_2_20140109B_20140119	vbsf-ngs	
16342	C2L37ACXX_2_20140109B_20140119	vbsf-ngs	
16343	C2L37ACXX_3_20140109B_20140119	vbsf-ngs	
16344	C2L37ACXX_3_20140109B_20140119	vbsf-ngs	
16345	C2L37ACXX_3_20140109B_20140119	vbsf-ngs	
16346	C2L37ACXX_3_20140109B_20140119	vbsf-ngs	
16347	C2L37ACXX_4_20140109B_20140119	vbsf-ngs	
16348	C2L37ACXX_4_20140109B_20140119	vbsf-ngs	
16349	C2L37ACXX_4_20140109B_20140119	vbsf-ngs	
16350	C2L37ACXX_5_20140109B_20140119	vbsf-ngs	
16351	C2L37ACXX_5_20140109B_20140119	vbsf-ngs	
16352	C2L37ACXX_5_20140109B_20140119	vbsf-ngs	
16353	C2L37ACXX_6_20140109B_20140119	vbsf-ngs	
16354	C2L37ACXX_6_20140109B_20140119	vbsf-ngs	
16355	C2L37ACXX_6_20140109B_20140119	vbsf-ngs	
16876	C3J4LACXX_5_20140131B_20140203	vbsf-ngs	
16877	C3J4LACXX_5_20140131B_20140203	vbsf-ngs	
16878	C3J4LACXX_5_20140131B_20140203	vbsf-ngs	
16879	C3J4LACXX_5_20140131B_20140203	vbsf-ngs	
16880	C3J4LACXX_5_20140131B_20140203	vbsf-ngs	
16881	C3J4LACXX_5_20140131B_20140203	vbsf-ngs	
16893	C3J4LACXX_6_20140131B_20140203	vbsf-ngs	
16894	C3J4LACXX_6_20140131B_20140203	vbsf-ngs	
16895	C3J4LACXX_6_20140131B_20140203	vbsf-ngs	
16896	C3J4LACXX_6_20140131B_20140203	vbsf-ngs	
16897	C3J4LACXX_6_20140131B_20140203	vbsf-ngs	
16898	C3J4LACXX_7_20140131B_20140203	vbsf-ngs	
16899	C3J4LACXX_7_20140131B_20140203	vbsf-ngs	
16900	C3J4LACXX_7_20140131B_20140203	vbsf-ngs	
16901	C3J4LACXX_7_20140131B_20140203	vbsf-ngs	
16902	C3J4LACXX_7_20140131B_20140203	vbsf-ngs	
16903	C3J4LACXX_7_20140131B_20140203	vbsf-ngs	
16904	C3J4LACXX_8_20140131B_20140203	vbsf-ngs	
16905	C3J4LACXX_8_20140131B_20140203	vbsf-ngs	
16906	C3J4LACXX_8_20140131B_20140203	vbsf-ngs	
16907	C3J4LACXX_8_20140131B_20140203	vbsf-ngs	
16908	C3J4LACXX_8_20140131B_20140203	vbsf-ngs	
16909	C3J4LACXX_8_20140131B_20140203	vbsf-ngs	
17024	C3JF0ACXX_3_20140210B_20140213	vbsf-ngs	
17025	C3JF0ACXX_3_20140210B_20140213	vbsf-ngs	
17026	C3JF0ACXX_3_20140210B_20140213	vbsf-ngs	
16910	C3JPCACXX_1_20140131B_20140203	vbsf-ngs	
16911	C3JPCACXX_1_20140131B_20140203	vbsf-ngs	
16912	C3JPCACXX_1_20140131B_20140203	vbsf-ngs	
16913	C3JPCACXX_1_20140131B_20140203	vbsf-ngs	
16914	C3JPCACXX_1_20140131B_20140203	vbsf-ngs	
16915	C3JPCACXX_1_20140131B_20140203	vbsf-ngs	
16916	C3JPCACXX_2_20140131B_20140203	vbsf-ngs	
16917	C3JPCACXX_2_20140131B_20140203	vbsf-ngs	
16918	C3JPCACXX_2_20140131B_20140203	vbsf-ngs	
16919	C3JPCACXX_2_20140131B_20140203	vbsf-ngs	
16920	C3JPCACXX_2_20140131B_20140203	vbsf-ngs	
16921	C3JPCACXX_2_20140131B_20140203	vbsf-ngs	
16922	C3JPCACXX_3_20140131B_20140203	vbsf-ngs	
16923	C3JPCACXX_3_20140131B_20140203	vbsf-ngs	
16924	C3JPCACXX_3_20140131B_20140203	vbsf-ngs	
16925	C3JPCACXX_3_20140131B_20140203	vbsf-ngs	
16926	C3JPCACXX_3_20140131B_20140203	vbsf-ngs	
16927	C3JPCACXX_3_20140131B_20140203	vbsf-ngs	
16928	C3JPCACXX_4_20140131B_20140203	vbsf-ngs	
16929	C3JPCACXX_4_20140131B_20140203	vbsf-ngs	
16930	C3JPCACXX_4_20140131B_20140203	vbsf-ngs	
16931	C3JPCACXX_4_20140131B_20140203	vbsf-ngs	
16932	C3JPCACXX_4_20140131B_20140203	vbsf-ngs	
16933	C3JPCACXX_4_20140131B_20140203	vbsf-ngs	
16934	C3JPCACXX_5_20140131B_20140203	vbsf-ngs	
16935	C3JPCACXX_5_20140131B_20140203	vbsf-ngs	
16936	C3JPCACXX_5_20140131B_20140203	vbsf-ngs	
16937	C3JPCACXX_6_20140131B_20140203	vbsf-ngs	
16938	C3JPCACXX_6_20140131B_20140203	vbsf-ngs	
16939	C3JPCACXX_6_20140131B_20140203	vbsf-ngs	
16940	C3JPCACXX_6_20140131B_20140203	vbsf-ngs	
16806	C3N3NACXX_3_20140215B_20140225	vbsf-ngs	
16807	C3N3NACXX_3_20140215B_20140225	vbsf-ngs	
16808	C3N3NACXX_3_20140215B_20140225	vbsf-ngs	
16809	C3N3NACXX_3_20140215B_20140225	vbsf-ngs	
16832	C3N3NACXX_4_20140215B_20140225	vbsf-ngs	
16833	C3N3NACXX_4_20140215B_20140225	vbsf-ngs	
16834	C3N3NACXX_4_20140215B_20140225	vbsf-ngs	
16835	C3N3NACXX_5_20140215B_20140225	vbsf-ngs	
16836	C3N3NACXX_5_20140215B_20140225	vbsf-ngs	
16837	C3N3NACXX_5_20140215B_20140225	vbsf-ngs	
16838	C3N3NACXX_5_20140215B_20140225	vbsf-ngs	
16839	C3N3NACXX_6_20140215B_20140225	vbsf-ngs	
16840	C3N3NACXX_6_20140215B_20140225	vbsf-ngs	
16841	C3N3NACXX_6_20140215B_20140225	vbsf-ngs	
