Name	multi/demuli	samples	align
berger/lab/Raw/D2GAJACXX_3_20131003B_20131005.bam	multi	15351	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/D2GAJACXX_3_20131003B_20131005.bam	multi	15352	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/D2GAJACXX_3_20131003B_20131005.bam	multi	15353	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/D2GAJACXX_3_20131003B_20131005.bam	multi	15354	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/D2GAJACXX_3_20131003B_20131005.bam	multi	15355	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/D2GAJACXX_3_20131003B_20131005.bam	multi	15356	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/D2GAJACXX_3_20131003B_20131005.bam	multi	15357	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/D2GAJACXX_3_20131003B_20131005.bam	multi	15358	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/D2GAJACXX_3_20131003B_20131005.bam	multi	15359	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/D2GAJACXX_3_20131003B_20131005.bam	multi	15360	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/D2GAJACXX_3_20131003B_20131005.bam	multi	15361	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/D2GAJACXX_3_20131003B_20131005.bam	multi	15362	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_1_20140109B_20140119.bam	multi	16336	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_1_20140109B_20140119.bam	multi	16337	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_1_20140109B_20140119.bam	multi	16338	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_1_20140109B_20140119.bam	multi	16339	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_2_20140109B_20140119.bam	multi	16339	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_2_20140109B_20140119.bam	multi	16340	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_2_20140109B_20140119.bam	multi	16341	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_2_20140109B_20140119.bam	multi	16342	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_3_20140109B_20140119.bam	multi	16343	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_3_20140109B_20140119.bam	multi	16344	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_3_20140109B_20140119.bam	multi	16345	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_3_20140109B_20140119.bam	multi	16346	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_4_20140109B_20140119.bam	multi	16347	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_4_20140109B_20140119.bam	multi	16348	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_4_20140109B_20140119.bam	multi	16349	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_5_20140109B_20140119.bam	multi	16350	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_5_20140109B_20140119.bam	multi	16351	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_5_20140109B_20140119.bam	multi	16352	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_6_20140109B_20140119.bam	multi	16353	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_6_20140109B_20140119.bam	multi	16354	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C2L37ACXX_6_20140109B_20140119.bam	multi	16355	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_3_20140215B_20140225.bam	multi	16806	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_3_20140215B_20140225.bam	multi	16807	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_3_20140215B_20140225.bam	multi	16808	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_3_20140215B_20140225.bam	multi	16809	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_4_20140215B_20140225.bam	multi	16832	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_4_20140215B_20140225.bam	multi	16833	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_4_20140215B_20140225.bam	multi	16834	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_5_20140215B_20140225.bam	multi	16835	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_5_20140215B_20140225.bam	multi	16836	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_5_20140215B_20140225.bam	multi	16837	http://ngs.csf.ac.at/alignments/group/Berger
berger/lab/Raw/C3N3NACXX_5_20140215B_20140225.bam	multi	16838	http://ngs.csf.ac.at/alignments/group/Berger
