"count___no_feature" "count___ambiguous" "count___too_low_aQual" "count___not_aligned" "count___alignment_not_unique" "with0_0%" "with0_25%" "with0_50%" "with0_75%" "with0_100%" "wo0_with0_0%" "wo0_with0_25%" "wo0_with0_50%" "wo0_with0_75%" "wo0_with0_100%" "tot" "zeros" "proc_count___no_feature" "proc_count___ambiguous" "proc_count___too_low_aQual" "proc_count___not_aligned" "proc_count___alignment_not_unique"
"X16336.tab" 404340 985809 0 0 0 0 1 219 1406 222238 1 71 648 1912.25 222238 45951425 7738 0.00879929186091617 0.0214532846369835 0 0 0
"X16337.tab" 329412 839387 0 0 0 0 1 158 1137 275381 1 43 487 1534 275381 39222863 7367 0.00839846902557827 0.0214004520781668 0 0 0
"X16338.tab" 406575 910537 0 0 0 0 2 182 1318 270680 1 42 539.5 1738 270680 44398577 6986 0.00915738808475776 0.0205082473701804 0 0 0
"X16339.tab" 329312 913172 0 0 0 0 0 100 1222 420652 1 52 613 1916 420652 47474128 9825 0.0069366624280071 0.0192351505645349 0 0 0
"X16340.tab" 421288 1139542 0 0 0 0 0 119 1545 518955 1 83 826 2504.75 518955 60462684 10408 0.0069677356698224 0.0188470296819771 0 0 0
"X16341.tab" 486453 1188042 0 0 0 0 0 149 1613 655632 1 78 825 2526 655632 65158804 9737 0.00746565268447837 0.0182330234299574 0 0 0
"X16342.tab" 404056 1017232 0 0 0 0 0 124 1418 556220 1 72.25 741 2238 556220 56873673 10060 0.00710444707870371 0.0178858151116774 0 0 0
"X16343.tab" 299677 962785 0 0 0 0 0 112 1056.75 587876 1 72 555 1639 587876 40659099 9933 0.0073704781308607 0.0236794474958729 0 0 0
"X16344.tab" 471245 1292589 0 0 0 0 0 156 1523.75 684088 1 81 751.5 2286 684088 56589359 9538 0.00832744898206039 0.0228415557772973 0 0 0
"X16345.tab" 389551 922318 0 0 0 0 0 101 979.75 591368 1 61 497 1492 591368 38208288 9820 0.0101954581163124 0.0241392129372559 0 0 0
"X16346.tab" 364957 1019001 0 0 0 0 0 127 1223 557413 1 61 583.5 1817.25 557413 46851620 9330 0.0077896345953459 0.0217495360886134 0 0 0
