"16336.tab" "16337.tab" "16338.tab" "16339.tab" "16340.tab" "16341.tab" "16342.tab" "16343.tab" "16344.tab" "16345.tab" "16346.tab" "16347.tab" "16348.tab" "16349.tab" "16350.tab" "16351.tab" "16352.tab" "16353.tab" "16354.tab" "16355.tab" "16806.tab" "16807.tab" "16808.tab" "16809.tab" "16832.tab" "16833.tab" "16834.tab" "16835.tab" "16836.tab" "16837.tab" "16838.tab" "16839.tab" "16840.tab" "16841.tab" "16842.tab" "16843.tab" "16844.tab" "16845.tab" "16846.tab" "16847.tab" "16848.tab" "18698.tab" "18699.tab" "18700.tab" "18701.tab" "18702.tab" "18703.tab" "18705.tab" "18706.tab" "18707.tab" "18708.tab" "18709.tab"
"count___no_feature" 404340 329412 406575 329312 421288 486453 404056 299677 471245 389551 364957 479596 483536 515528 460007 557715 475115 536371 450051 482882 300755 453669 278548 235006 403643 432751 352239 109241 134809 183808 128828 156731 151039 151011 140092 106583 110836 137622 121977 145082 177031 355627 299653 265473 334247 342101 296341 221762 353660 264790 307169 280593
"count___ambiguous" 985809 839387 910537 913172 1139542 1188042 1017232 962785 1292589 922318 1019001 1555007 1271400 1508076 1373246 1631269 1391794 1535362 1737732 1307821 449935 421489 433154 395133 493086 526714 551886 718177 682774 876321 625594 790129 844312 816272 721205 563560 676806 722311 767397 870920 979218 1216561 1325532 940533 971692 1143264 1106594 944262 1123130 929296 1047082 1077017
"count___too_low_aQual" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"count___not_aligned" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"count___alignment_not_unique" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"with0_0%" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"with0_25%" 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"with0_50%" 219 158 182 100 119 149 124 112 156 101 127 187.5 162 173 187 211 227 223 206.5 169 7 10 11 5 8 7 8 73 77 100 76 104 100 95 103 66 83 96 102 123 118 103 108 90 81 96 115 68 119 110 128 114.5
"with0_75%" 1406 1137 1318 1222 1545 1613 1418 1056.75 1523.75 979.75 1223 1711 1511 1651 1686 1939 1694 1867.75 1837 1598.75 330 362 368 272 351 382 393 550 643 811 584 761.75 750 754 693 524 653 722 751 847 929 957 996 843 812 1037 1041 795 968.75 896 916 980
"with0_100%" 222238 275381 270680 420652 518955 655632 556220 587876 684088 591368 557413 908930 650579 946570 978412 872263 897609 1196823 1334866 1259512 905459 1395177 756001 972679 1427254 796938 1315033 664353 673995 789464 502777 753345 911386 470977 397730 408446 433579 434663 469717 524007 610813 616159 720313 378271 392935 778923 774173 373733 849818 880310 736015 983728
